region,year,value,metric,source,demographic,group,source_reliability
Guangdong,2015,2.42,Provincial Immigration,China National Bureau of Statistics,,,0.95
Guangdong,2015,1.87,Provincial Emigration,China National Bureau of Statistics,,,0.95
Guangdong,2016,2.746,Provincial Immigration,China National Bureau of Statistics,,,0.95
Guangdong,2016,1.952,Provincial Emigration,China National Bureau of Statistics,,,0.95
Guangdong,2017,2.827,Provincial Immigration,China National Bureau of Statistics,,,0.95
Guangdong,2017,2.004,Provincial Emigration,China National Bureau of Statistics,,,0.95
Guangdong,2018,2.892,Provincial Immigration,China National Bureau of Statistics,,,0.95
Guangdong,2018,2.045,Provincial Emigration,China National Bureau of Statistics,,,0.95
Guangdong,2019,3.158,Provincial Immigration,China National Bureau of Statistics,,,0.95
Guangdong,2019,2.218,Provincial Emigration,China National Bureau of Statistics,,,0.95
Guangdong,2020,3.349,Provincial Immigration,China National Bureau of Statistics,,,0.95
Guangdong,2020,2.311,Provincial Emigration,China National Bureau of Statistics,,,0.95
Guangdong,2020,0.517,Immigration Age 0-14,China National Bureau of Statistics,Age,0-14,0.95
Guangdong,2020,0.678,Immigration Age 15-24,China National Bureau of Statistics,Age,15-24,0.95
Guangdong,2020,0.611,Immigration Age 25-34,China National Bureau of Statistics,Age,25-34,0.95
Guangdong,2020,0.4,Immigration Age 35-44,China National Bureau of Statistics,Age,35-44,0.95
Guangdong,2020,0.272,Immigration Age 45-59,China National Bureau of Statistics,Age,45-59,0.95
Guangdong,2020,0.11,Immigration Age 60+,China National Bureau of Statistics,Age,60+,0.95
Guangdong,2021,3.399,Provincial Immigration,China National Bureau of Statistics,,,0.95
Guangdong,2021,2.345,Provincial Emigration,China National Bureau of Statistics,,,0.95
Guangdong,2021,0.409,Immigration Age 0-14,China National Bureau of Statistics,Age,0-14,0.95
Guangdong,2021,0.56,Immigration Age 15-24,China National Bureau of Statistics,Age,15-24,0.95
Guangdong,2021,0.597,Immigration Age 25-34,China National Bureau of Statistics,Age,25-34,0.95
